,Tweet_lemmatized
167,Digga Halt fressen ski Shit Snowboard Fahrer liegen mitten Piste fahren Riese Bogen Waa gut
168,Kanada passieren weltweit planen beobachten Testphase gekauft Journalist
169,Ball Upa fressen jung gehen
170,Halt fressen
171,jemanden Zahn fressen Prügel gegenüber sagen mögen Bolognese essen Nudeln lieber Carbonara
172,Fart Klaus gleich zwei alt weiß Mann kapieren gendergerecht Sprache Grundlage sozial Gerechtigkeit zeigen eigentlich wohin Partei abgestumpft müssen Ecke Partei fressen halten kommen
173,Haptic Gefühl ziemlich viele Influencerinnen echt fressen halten sollen beim Videospiel bleiben
174,jung Gott Ahnung reden traurig Halt fressen einfach wissen
175,halten mal fressen Leemun
176,Jahr Grad Mba Pokal packen toll fressen kriegen Scheiße spielen
177,Haptic Gefühl ziemlich viele Influencerinnen echt fressen halten sollen beim Videospiel bleiben
178,Rndm Digga Gethrowt sein Behindert sein einfach Scheiße haben groß fressen stimmen nich außerdem Tweet Opfer speichern
179,Schleicher Halt fressen
180,Haptic Gefühl ziemlich viele Influencerinnen echt fressen halten sollen beim Videospiel bleiben
181,Haptic Gefühl ziemlich viele Influencerinnen echt fressen halten sollen beim Videospiel bleiben
182,Lauterbach fressen Ruhe Nervensäge sperren Haus hören Panik verbreiten Coronapropagandaminister
183,Haptic Gefühl ziemlich viele Influencerinnen echt fressen halten sollen beim Videospiel bleiben
184,Plannet sprechen Seele deutsch Politiker müssen Staatsbesuch Osteuropa erstmal Kranz niederlegen immer Nazikarte zücken fressen halten bloß Kritik üben unser Vergangenheit bewissen
185,Haptic Gefühl ziemlich viele Influencerinnen echt fressen halten sollen beim Videospiel bleiben
186,schämen Fan pfeifen Halbzeitpause Krieg fressen Supporten Spiel Instagram Story wichtig Gott gucken Haus Fussball
187,grüßen Sleepy ausrichten sagen Israel Fan sollen fressen halten
188,Inxession naja verspielen Leben Problem alternativ Medium informieren Halt Preis Dummköpfe brauchen Macher Lachen Faust stinkreich dabei lassen verarsch fressen
189,Haptic Gefühl ziemlich viele Influencerinnen echt fressen halten sollen beim Videospiel bleiben
190,hainer raus Brazzo raus Dreck Spar Politik nutzen nix Schrott investieren Leute Alabaampco gehen deren Gehalt zahlen wollen fressen ey
191,Haptic Gefühl ziemlich viele Influencerinnen echt fressen halten sollen beim Videospiel bleiben
192,fressen
193,Holo Halt einfach mal fressen anstatt Gg schreiben nein Digga Miimmiiimmmii lassen fallen Bisz Beef süchtig
194,Haptic Gefühl ziemlich viele Influencerinnen echt fressen halten sollen beim Videospiel bleiben
195,Digga Halt fressen ski Shit Snowboard Fahrer liegen mitten Piste fahren Riese Bogen Waa gut
196,reden Mentalität Einstellung hasten nich sehen Auf Platz Wirds zeigen reden nich davon Auf Platz eh durchsetzen fressen
197,Halt fressen
198,meisten faschistisch Gruenen Mischpoke mal Berufsausbildung groß fressen dahinter
199,fressen hauen Hobby
200,Bund fressen ja Telegram mal technisch weit fortgeschritten Messenger Idiot schreiben Whatsapp schreiben Million Idiot Faeser schon versuchen wa abstellen ja warum gut
201,Männlein reden denkend Mensch eigen Meinung müssen Männlein drauf groß fressen reichen künstlich Intelligenz Blt
202,schon verdammen hohl Nuss Herr Audretschmeine Fressesoviel Blödheit Haufen erleben
203,Jennik Flick spielen Folge hinten fressen
204,fressen eigentlich sagen
205,nochmal ganz Schwachmattenliebe Land Kultur Nazi wer denken fressen
206,fressen Tom
207,fressen Hasan endlich raus Fcbsgf
208,fragen Nagelsmann raus supportet Immernoch Gnabry wer Verarscht fressen
209,Halt fressen Hipster Dunk Contest seit Carter spätestens seit Gordon vs Leaving Dogshit werden ganz Celebrity Kacke Müll
210,heute Hose gehen geben Schale ab unglaublich schlecht Dortmunder fressen
211,Gegurke fressen
212,nochmal ganz Schwachmattenliebe Land Kultur Nazi wer denken fressen
213,Inxession jung begeben ärztlich Behandlung gefährlich Trip widerlegen geben Mensch Hirn haben setzen lassen Arbeit rennen billig Demagoge fressen
214,vielleicht brauchen mal paar Woche richtig fressen Vorstand mal Festgeldkonto heruntersteigen Abwehr kaufen Name verdienen Fcbsgf
215,nochmal ganz Schwachmattenliebe Land Kultur Nazi wer denken fressen
216,warum genau Sabitza holen naja ehren schwach ganz Mannschaft kommen einfach wenig fressen Fcbsgf
217,ach Halt fressen Fcbsgf
218,fressen Fcbsgf
219,peinlich wirklich schalten fressen Dreck Millionär
220,Shithole germany spiegeln perfekt dar welch kaputt Gesellschaft fressen groß Problem Geilt Sowas ficken
221,Sandro Wagner mal fressen halten Typ Nervig
222,Haltung Thema Gewalt überdenken Böllertyp Schmerz verdienen fressen Rwescp
223,Bullshit Ende grün fressen
224,Springer fressen Wat satanistisch scheißen Dreck daran widerlich vertreten heutig Deutschland ziemlich passend
225,dumm Hirn Geschissen Trottel gehen scheißen Spritpreis Hirnakrobat fressen darauf mal antworten Meinung Afd vertreten nochmal gehen scheißen Spritpreis dumm fragen
226,hoffen halten fett fressen Wrden dafür sorgen Banned klein
227,gerne mal nem Haider fressen Box
228,fressen
229,fressen voll klein Bastarden Grad gehen Wasserpistole Dachstuhl
230,bitte Ernst entrücken Lebensfremd bitte Bund fressen
231,fressen toll
232,Wrld hä machen wütend bringen selber fressen Box
233,Hilgenberg ach ne meinen Wind wehen Wolke verfilmen werden fressen
234,mal ficken groß fressen Lucky ficken Nuttensohn
235,ver---en Fußball heute Rennen Mensch Ball hinterher Hund dürfen Fuß stellen fressen Box Random Karte bekommen entscheiden raus halb
236,fressen Hunger
237,nochmal ganz Schwachmattenliebe Land Kultur Nazi wer denken fressen
238,kennen allein Zuhause sein richtig fressen fliegen einfach peinlich haben
239,fressen Hodenkobold
240,fressen obs Problem geben Sowas Legalisierung Cannabis
241,Halt fressen
242,nochmal ganz Schwachmattenliebe Land Kultur Nazi wer denken fressen
243,einfach Bock drauf typisch Bayern immer fressen
244,fressen
245,schon verdammen hohl Nuss Herr Audretschmeine Fressesoviel Blödheit Haufen erleben
246,Innit Halt fressen Luca gehören
247,regnen dürfen wahrscheinlich trotzdem raus fressen
248,fressen wenig Tempo Spiel letzter beiden spielen nachvollziehen fehlen Geilheit Tor Fcbsgf
249,Kanada passieren weltweit planen beobachten Testphase gekauft Journalist
250,Halt Schwanz fressen
251,Hälst endlich ahnunglos fressen kriegen mehr Schiri schenken spielen komplett Scheiße bleiben ruhig optimistisch wissen aufsteigen Ding Grammozis
252,sagen Geld machen glücklich bitte Halt fressen Shoppe glücklich Ok
253,fressen linker Geschreibsel Alter
254,Halt fressen einfach
255,Joolo manchmal tun echt gut fressen halten tun ehrlich Leid mehr Scheiss geben
256,fressen halten ali
257,schmunzeln mittlerweile übertrieben garstig jung Mensch draußen Ffp rumrennen sehen Frage Zeit fressen bekommen Lol
258,jung Halt fressen kannen gerne sagen Deutschrap Kacke Capi auflisten jucken rr niemanden
259,Gedanke Jesus haben Peitsche nehmen pfaff fressen hauen haben Jesus machen
260,Klatsch gleich jung Schrei rum setzen fressen werden Bhd
261,googeln mal Baukosten M Parkplatz vs Wohnfläche danach Vergleich mal Anzahl parkausweise Parkplatz lange Rädchentrampler Kosten Infrastruktur Beteiligt halten einfach fressen
262,mo Well Who owns Politico now Halt fressen Bildspringer
263,Kanada passieren weltweit planen beobachten Testphase gekauft Journalist
264,Er Musikgeschmack sollen rr fressen halten
265,baden ru A lebn Maash il il Wallah fressen Waynik ya Sour Bas Bide Yeke
266,Aktion kommen Bmi real Aussage Münze fressen halten Deppen wer krank zahlen Steuer wer alt Rente Lindner Kohle Rentenkasse Börse verzocken gehen sterben
267,Lesi Bonn Referendum Gabs beim Anschluss Österreich deutsch ja fressen lächerlich geben mal ne Möglichkeit Zugehörigkeit Ukraine stimmen
268,natürlich tun fressen
269,sagen Geld machen glücklich bitte Halt fressen Shoppe glücklich Ok
270,mal annehmen halten fressen tweets immer sperren sein Welt gut Ort
271,fressen Stelle gerade Gericht Schulligung Herr Richter meinen absehen Absoder ach egal Prost
272,Gedanke Jesus haben Peitsche nehmen pfaff fressen hauen haben Jesus machen
273,haben Bock Bulle genau Grund Demo Querdenkern fressen polieren
274,fressen geben Zeit Thema wenigstens sitzen Kompetenz anstatt Quote
275,jung bitte Hensel Halt fressen mal ehrlich machen Kur schlimm Versuch irgendwas Elfer rechtfertigen niedrig verloren raffen mal machen selber verantwortlich Mannschaft
276,sagen Geld machen glücklich bitte Halt fressen Shoppe glücklich Ok
277,Ernst Baerbock sagen Leute finden immer schlecht posaunen Gelegenheit Gelegenheit raus manchmal einfach mal fressen halten
278,dafür Herr Alkas völlig unbedeutend schreiben ziemlich aufbringen Recht beleidigend Dreck tl übrigens groß fressen verhalten meist Reziprok proportional Intelligenz dafür Paradebeispiel
279,primitiv Klischeedenken Problem Marzahn deutsch Hartz iv Empfänger Ahnung einfach mal fressen halten
280,Hernandez schlecht Verteidiger fressen Fcbsgf
281,nochmal ganz Schwachmattenliebe Land Kultur Nazi wer denken fressen
282,Kinderimpftag Impfzentrum via geldgierig Arzt mal richtig Finger klopfen verstehen fressen
283,fressen on Deez nuts play Xenoblade
284,fressen
285,fressen
286,offensichtlich arrogant minder intelligent Verachtung funktionieren Faschismus sprechen Vertreter Partei mindestens stimmen d Million Mensch ausschließen Diskurs fressen
287,ansich jucken kaum wer wem interagiert wem Mutural anhand Favs Follows immer ausmachen wer faschistoid problematisch muturals fressen weit Aufreißen
288,Sky Moderator herausfinden Fernandes fernansch Auspricht seitdem mehr fressen halten
289,komplett unterirdisch Interpretation Martenstein schreiben Wchon blöd Text verstehen halten bitte ganz einfach Sackblöde fressen danken
290,abgehoben Bürgerferne Arroganz einfach gerne fressen hauen
291,De Wielange brauchen Paysafecard Verifizierung fressen Scheiss Schein
292,Halt einfach fressen
293,haben haben Fixkosten Freizeit jung knapp Monat einfach vermögen
294,Fatzke dumm fressen halten gehen drüben ablaufen
295,Forum worauf Preuße offensichtlich Wert legen statt fressen halten wahrscheinlich pe
296,Kanada passieren weltweit planen beobachten Testphase gekauft Journalist
297,brauchen Pflicht komisch Schweden freiwillig Lappen
298,Lindner Frage warum Nawalny gut Kritiker schützend stellen Julian Assange halten fressen Lindner eh Typ Ei
299,mies fressen Krieg
300,Ma ehrlich stolz Kaiser Dabro heute pflegen fressen polieren Sekunde davon Genosse
301,erzählen immer Scheisse Frage spielen überhaupt Rolle einzig allein wem Frage kommen Hampelmann irgendwann mal gut fressen
302,gerade beim Tshirt anziehen selber fressen hauen laufen Sonntag
303,ach Gott Diesewir befragen üblich Leute Online per Telefon Gesteuertenfr
304,selber maximal Halt hässlich Nutten fressen Missgebildetr hs
305,Kanada passieren weltweit planen beobachten Testphase gekauft Journalist
306,Kanada passieren weltweit planen beobachten Testphase gekauft Journalist
307,groß Liebe Spielweise wahrscheinlich bekommen Freitag voll fressen gerade
308,ne Alaka sagen Halt fressen halten Sienauch fressen
309,Kanada passieren weltweit planen beobachten Testphase gekauft Journalist
310,mies fressen Krieg
311,ja hassen hacken fressen
312,schüchtern mal fressen halten
313,Wu Hackepeter Kopf Recht Ansteckung demonstrieren gehen bekommen Zweifelsfall Polizi
314,Freedomday sein ganz Querdeppen Noafd Hirnis Kubiki Abartigen mal fressen halten
315,fressen ganz Transfrauendebatte lassen echt tief Blick ja tendenziell pessimistisch Menschenbild Menge Müll Twitter ausgekotzt wegen klar verurteilend Fckafdrede lassen sogar verzweifeln
316,Freedomday sein ganz Querdeppen Noafd Hirnis Kubiki Abartigen mal fressen halten
317,fressen halten Twitterprofil löschen
318,Hey ähhmmm Wärs Halt fressen Opfer Btw Bock Schwanz Foto
319,heute nix fressen einfach schwach Fcsp Fcsph
320,grün Ungeimpft rechts fressen
321,Oha Leon gehen weit Freund Waffe einschmuggeln fressen
322,fressen sofort Front schicken Aussage tätig jung
323,ja gerne mal fressen hauen Uwu
324,worauf Preuße offensichtlich Wert legen statt fressen halten wahrscheinlich persönlich Ludendorffbrücke verteidigen haben gern
325,Amk Wos Steffi fett fett Halt fressen
326,Halt fressen Franzose hängen Ei
327,Lauterbach halten bitte endlich widerlich verlogen hetzend fressen lassen einweisen
328,wissen Socke hässlich fressen wollen
329,deutsch Kampf Antisemitismus bestehen darin jüdisch Linke Internet diffamieren Ziel Mu
330,Yeehaw nein Digga Nervig einfach feieren halten fressen Feier ja geben Eklige Mensch runtermachend deswegen nerven ganz Geschichte
331,sitzen Haus hoffen Tzellen polieren Drecksvirus gerade richtig schön fressen Stph
332,Halt fressen Solidaritätsverweigerer
333,sagen nein Halt einfach fressen Emir
334,gerade beim Tshirt anziehen selber fressen hauen laufen Sonntag
335,cool sein Influencer einfach fressen halten
336,Kanada passieren weltweit planen beobachten Testphase gekauft Journalist
337,schon verdammen hohl Nuss Herr Audretschmeine Fressesoviel Blödheit Haufen erleben
338,fressen
339,s wer irgendwas Befehl Halt selber fressen
340,fressen wollen wirklich Stadt Berlin mehrere Tag lahm legen haben wirklich Ahnung schon selber Demo angemeldet
341,Lauterbach fressen gehen ne Gummizelle sicher Esreicht Wirwerdenverarscht
342,gerne mal nem Haider fressen Box
343,check einfach fressen
344,ach Gott Diesewir befragen üblich Leute Online per Telefon Gesteuertenfr
345,gelb klar rot Karte fressen Faue
346,werden fangen versehen Ferse treten mies fressen packen ganz Knie offen können mehr beugen paar Tag
347,Blick Bzw nie richtig mitarbeiten Pandemie werden Seite Büro überängstlich ansprechen
348,völlig überfüllen Ice fühlen einzig frei Platz finden Ruheabteil wirklich halten fressen Sitznachbar schlummern hören tief Atemzug rattern Zug scheinen machen Reise Freude
349,Fabi ballen Faust fressen
350,genau deshalb Jahr bleiben oh jung sein gern dabei Knast dank kurz Zündschnur Mithäftling Beinbrechronny Nen Huso nennen u Antwort erstmal restlich Zuckerstumpen fressen Drischt sein großartig
351,ach Gott Diesewir befragen üblich Leute Online per Telefon Gesteuertenfr
352,differenziert Meinung bekommen irgendwie immer beiden Seite fressen
353,haben haben Fixkosten Freizeit jung knapp Monat einfach vermögen
354,fressen
355,Kanada passieren weltweit planen beobachten Testphase gekauft Journalist
356,Matthäus neuerdings Berater Süle irgendwie verbandeln fressen Süle Transfer
357,Fehled definitiv paar Grillz Ide fressen
358,brauchen Pflicht komisch Schweden freiwillig Lappen
359,ach Gott Diesewir befragen üblich Leute Online per Telefon Gesteuertenfr
360,Lauterbach halten bitte endlich widerlich verlogen hetzend fressen lassen einweisen
361,immer sein Impfpflicht Impfzwang fressen gehen Birne
362,haben haben Fixkosten Freizeit jung knapp Monat einfach vermögen
363,Schwurblerine warum tragen Maske wollen Gesicht zeigen nein hässlich fressen wollen garantieren sehen schwören
364,wegen Polizeiproblem Rumheulen Abstandsholz dazwischen passen gibts Schlagstock Di
365,Fc ehrlich Wissen wer Hirn Geschissen uneinsichtig Scheiße Laber sagen hoffen steigen ab geben viele gut Halt fressen Verpiss Account
366,haben haben Fixkosten Freizeit jung knapp Monat einfach Vermögen aufbauen ja fressen Geld haben ja viele Mensch Leben Armut
367,Auge verdienen seit Jahr ne groß fressen langfristig immer champions League spielen Krieg mal Bundesliga etablieren
368,fressen
369,Querschnittsgelähmter Mutter ebenfalls Querschnittsgelähmt ficken Hurensohn gehen Ei fressen
370,scheißen windig windig Schule machen fressen
371,kosten einfach mal fressen halten
372,Lauterbach Halt einfach mal fressen unglaublich Tag Müll verzapfen
373,Wort Sonntag laut fressen halten Melken lassen einfach Zahlfötzchen einfach brav
374,Freedomday sein ganz Querdeppen Noafd Hirnis Kubiki Abartigen mal fressen halten
375,Lauterbach halten hässlich fressen endlich Schnauze voll Ruecktrittlauterbach
376,Us Nee fressen
377,Dubiel Boah bitte Halt fressen einfach reden Nulltoleranz Terror warum handeln Polit
378,Bund Lauterbach Halt einfach fressen
379,Kanada passieren weltweit planen beobachten Testphase gekauft Journalist
380,echt Hoffnung Vertrauen erwecken sehen völlig Mann befinden privat Feldzug vielleicht zurücktreten einfach mal fressen halten
381,fressen hören Ekelhaft schmierig englisch reden Tweet deutsch
382,direkt Boah mal richtig fressen packen
383,Lauterbach wann Hälst endlich fressen kannen Lüge Lüge verarsch Haufen Kohle dafür einstecken geben ne Kugel Lappen
384,Mann fressen halten sehen Soo gut
385,Umarmung bekommen Watzke fressen Matthäus groß Dummschwätzer Himmelszelt
386,Wort Sonntag laut fressen halten Melken lassen einfach Zahlfötzchen einfach brav
387,Lauterbach manchmal möchten einfach mal sagen Halt fressen lassen Erziehung Berlinhajorixdorfalodria
388,Oha Leon gehen weit Freund Waffe einschmuggeln fressen Krieg
389,Le weder Freiheit Person Recht Freizügigkeit angreifen Kleiderordnung Spielregel Gemeinwohl Pandemie niemand Virus fressen Rotzen oft Kopf Wand bangen
390,Riqaz vs Saz Komasy Get mal Bal up fressen
