,Tweet
63,@ty_johannes @rot_weiss_essen NEIN es ist in dieser Situation völlig unangebracht aber singt ihr das irgendwie gegen Essen in einem normalen Spiel würde es auch keinen jucken weil es ein komplett normaler fangesang in nem Derby oder ähnlichen ist meine fresse
64,@2021_SapereAude @Karl_Lauterbach @munichstudent Ob du so ne große fresse hättest wenn du dich nicht unter nem fiktiven Profilnamen hier angemeldet hättest?
65,@clinicalleroy Jetzt schon Bock auf die Fresse zu kriegen 👍🏻
66,"RT @moviedirect2002: @welt Kanada ist die Testphase…. 

Das steht uns auch noch bevor. 

Und die bezahlten Journalisten schreiben es schön…"
67,@177aminaa @samira_lec Deine fresse 🤐
68,"@bietho Ernsthaft? Agenda-Gerd? Hartz-IV-Schröder? Und dann alles, was danach kam... Meine Fresse."
69,"@TetigsTV @itsxeniabitch @JakobGV17 @FCBayern @LucasHernandez Deine Aussage macht noch weniger sinn. Alles was Bayern macht ist falsch. Egal ob Transfers,Schiedsrichterentscheidungen oder Sponsoren. Man kann es euch nicht recht machen. Halt also bitte deine Fresse."
70,"@DAZN_DE Könnt ihr nicht einfach mal die Fresse halten, wenn „Never Walk alone“ läuft????
Wieder ein Grund für ne Kündigung !!"
71,@Robert12279273 @kleeblattfuerth Halt die Fresse
72,@Swiftyfnr halt die fresse die werden 43
73,@Friede__ Linke werden nie verstehen dass ich mich nicht mehr so freundlich auf die Fresse freue
74,@dneuerer @Steinhoefel @swissairlines Halt die Fresse
75,"@karlheinz_e DerAfDSchwachkopf von der Hinterbank reißt mal wieder seine Fresse auf und diffamiert Fr Baerbock. Im Gegensatz zu ihm ist sie imAmt,wird zu derKonferenz eingeladen und hält eineRede vor hochkarätigenGästen um die deutschePosition zu erläutern.Der Hinterbänkler redet auf dem Klo!"
76,RT @Emil781: So nochmal an die ganz schwachmatten...Liebe mein land meine Kultur und bin kein NAZI Und wer das von mir denkt soll die fress…
77,@lach_tot @KarambaDiaby Fresse Nazi 🖕🏿🖕🖕🏾🖕🏽🖕🏼
78,Schalke Fans machen jeden Spieltag erneut auf Collinas Erben der zweiten Liga anstatt endlich ihre Fresse zu halten und einfach besseren Fußball zu spielen
79,Boxkampf war ja cool aber ich frag mich warum niemand diese kind was man immer in der crowd gehört hat kaputtgeschlagen hat wenn ich den wichser finde lasse ich denn 4 Monate am stück wolke 10 hören bis er die fresse hält
80,Geht doch. Meine Fresse.
81,@Karl_Lauterbach Halt die Fresse!
82,Drogenhandel beobachtet: Halt deine Fresse du Hu… (Gummersbach) Beleidigungen und Widerstand bei Polizeikontrolle https://t.co/0jH1ioiXUr +++ #NEWSonTour +++ #OBK #Blaulicht #PolizeiOberberg #OberbergischerKreis #Gummersbach
83,"So, Fresse jetzt. Ich muss pupen und muß das zelebrieren, weil man das im Zug nicht mehr durch Husten übertönen kann, ohne gelyncht zu werden."
84,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
85,"RT @drecksuser: Ich schäme mich so für unsere „fans“ die pfeifen in der Halbzeitpause, aber kriegen ihre fresse nicht auf zum supporten wäh…"
86,@boobssindnice halt die fresse 🥺
87,RT @moviedirect2002: @rosenbusch_ Was in Kanada passiert ist weltweit geplant. Wir beobachten die Testphase…. Und die gekauften Journaliste…
88,RT @yBleart: 2 mal gefickt und große fresse haben weil er mich lucky fickt nuttensohn @ydaiichiRL https://t.co/0VxwVpRDsg
89,@Karl_Lauterbach Halt doch einfach mal deine fresse!!!
90,@marco07504753 @groehler79 @Dekarldent Geh fifa spielen und halt die fresse
91,@Flowy777 @Radu1x Digga halt die fresse
92,Normalerweise kennt sich apo red nur mit fake bomben aus aber gestern hat er ein paar richtig heftige voll in die fresse bekommen
93,"@rebellovicc @Cataleyaaa63 Solche menschen wie du werden irgendwann mal so fett auf die fresse fliegen, dass die jeden einzelnen cent umdrehen müssen um sich etwas zu essen zukaufen :) vlt lernst du dadurch mal etwas gescheites"
94,@YSLeon_ Fresse
95,@welt Ob diese Typen wie der da auf dem Bild bitte alle mal die Fresse halten? Was soll das???
96,@Fewmaster @Freedom5019 @welt Halt die fresse Nazi
97,"RT @Dok_Wu: Wenn du für Hackepeter im Kopf und das Recht auf Ansteckung anderer demonstrieren gehst, bekommst du im Zweifelsfall von Polizi…"
98,@mathematik24 @genetikk1 Fresse du Hund.
99,"Was passiert eigentlich wenn man die Pronomen „ich/mein“ wähle?

Schreiben die woken Depperl, dann wirklich „Ich soll die Fresse halten, TERF?“ oder „Meine Faschofreunde liken wieder jeden Tweet!“, wenn‘s ihr beschissenes Ding durchziehen?"
100,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
101,@hoppezzz76 @Wundi68 Ihr #Wichswichtel  solltet mal  die Fresse halten. #ImpfpflichtAb18 kommt.
102,@narkosedoc @DrOetkerPizzaDE Ich fühle mich direkt angesprochen und halte die Fresse! 🤐 Man muss nur Schwachsinn verbreiten und die dumpfe Masse gibt seinen/ihren Kommentar dazu ab! 🤫😶
103,schatz bitte halt die fresse es ist aot &amp; all-star weekend
104,@Ytbeschhte @IamTabakYT ach wenn du keine ahnung hast halt doch einfach die fresse
105,"#FCBSGF 
meine Fresse der Sabitzer...der passt einfach nicht zu uns🥴"
106,RT @MariusFCS_: BITTE SPIELT DOCH NACH VORNE ALTER MEINE FRESSE WARUM LÄSST IHR EUCH SO REINDRÜCKEN
107,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
108,@Horsta9 @SPIEGEL_alles Halt die Fresse. :)
109,BITTE SPIELT DOCH NACH VORNE ALTER MEINE FRESSE WARUM LÄSST IHR EUCH SO REINDRÜCKEN
110,@shiirofnr @Marrlon1x Halt deine fresse
111,RT @moviedirect2002: @rosenbusch_ Was in Kanada passiert ist weltweit geplant. Wir beobachten die Testphase…. Und die gekauften Journaliste…
112,Als ob Fürth jetzt hier das Spiel macht.. meine Fresse #FCBSGF
113,@StJojoV6 @PaulM1r @DinkciSZN @AndiErnst Halt deine Fresse
114,"@CorneliaBeeking Halt einfach die Fresse.
Es wundert mich nicht, dass ausgerechnet bei euch Maskenfetischisten das Antlitz oft nicht gerade vom Glück geküsst wurde."
115,"@groehler79 @Dekarldent Ja, Fresse halten ist Gossensprache. ""Fresse halten"", oder ""halt die Fresse"" erstickt halt jegliche Diskussion im Keim. Ach ja...ich bin auf einer Gänseblümchenwiese groß geworden. Da wachsen die meisten Gänseblümchen, du harter Hund du 😉"
116,"Gegen Vestenbergsgreuth sind wir schon mal auf die Fresse gefallen. 
#FCBSGF"
117,@rebellovicc Digga halt mal deine fresse du denkst wirklich du bist besonders
118,Meine Fresse ey weil das Bild kurz mal gehangen habt wieser so ein Theater. Beruhigt euch mal oder regt euch über andere Sachen auf. #FCBSGF
119,@Dick00000007 @BR24 Halt einfach Deine verblödete Fresse
120,RT @EmileDurky: halt die fresse deine generation kann höchstens psychische probleme zwecks arbeitsverweigerung und kurzsichtigkeit durch di…
121,"RT @Heidi6611: @AnAudretsch Sie sind schon eine verdammt hohle Nuss Herr Audretsch🤨Meine Fresse,soviel Blödheit auf einen Haufen erlebt man…"
122,@unverblumelt Als ob ich die Fresse halten könnte.🤔
123,"@rot_weiss_essen Wie kann eine Person einen Böller werfen und 100 Menschen (einschließlich der Ultras in W2, die es NICHT waren) stehen daneben und haben zwar ne große Klappe, können aber sonst nichts machen? Die hauen Leuten in die Fresse, die Bierbecher werfen, aber bei sowas einfach nichts?"
124,"@BjoernHoecke zum ersten mal dem sein Geschwätz auf Youtube gesehn und obwohl ich auch kein Fan von links/grün bin, der Typ hier, Höcke, ist einer der dümmsten Menschen, die je in Deutschland geboren wurden, meine Fresse.  Der labert nur Dreck, eines deutschen unwürdig, hab mich fremdgeschämt."
125,"@mc_hopper Ja meine Fresse dieses Problem ist nicht neu. Und es wurde anscheinend zu wenig dagegen getan. Und ich habe kein gutes Gefühl, dass man heute mal den richtigen Ton anschlägt."
126,@417idris @Desept8 junge halt deine fresse
127,"@JulianFSchmidt @Melisa69013048 @matze_meier @shushu @Spicysauced @dasbringtnix @xjennyan Du hast vorallem jedes Recht dazu die Fresse zu halten. Niemand, aber wirklich niemand, will deine geistigen Müll lesen. Du bist bist 10/10 widerlich - hat nichts mit deiner Figur zutun. Mr. Ich kotze in Tweets ohne eigenes Bild."
128,"@Cord_Schulz Du bist illiberal, Cord. Geh zu den Grünen, meine Fresse"
129,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
130,@ChaoticHerrin Abliefern und Fresse halten https://t.co/EAZOSBhPqN
131,halt doch bitte deine misogyne scheiß fresse https://t.co/PqHNFBNG6z
132,RT @Tini68274439: @Luisamneubauer Warum sachliche Argumente bei Ihnen populistisch sind erschließt sich wohl nur Berufsaktivisten. Eine Dis…
133,@marco07504753 @Dekarldent 'Fresse halten' ist Gossensprache? Auf welcher Wiese bist du Gänseblümchen denn groß geworden? 😆
134,@Karl_Lauterbach Halt deine verfaulte Fresse!
135,"RT @drecksuser: Ich schäme mich so für unsere „fans“ die pfeifen in der Halbzeitpause, aber kriegen ihre fresse nicht auf zum supporten wäh…"
136,"RT @MuiseLarie: Soooooo geht es zig Familien. Wir wollen ja schon gar nichts mehr außer unsere Ruhe. Meine Fresse. Ruhe, wir sind Todgekämp…"
137,"@HeavensHero @Nime989 ""Fresse on deez nuts"" https://t.co/iMS7vLOLoO"
138,@BMG_Bund Haltet einfach eure dämliche Fresse!
139,"@ueberschaubar @dataclown2 @Afelia Deiner war der neuste Tweet und anscheinend war meine Message ja doch nötig.
Wie man sich wegen einem gelöschten Tweet so aufregen kann. Meine Fresse"
140,"@Dekarldent ""Fresse halten"". Das machst du leider viel zu häufig. Hast du gar nicht nötig. Immer gut, wenn man für schwächere eintritt, aber das geht meiner Meinung nach auch etwas zivilisierter 🤷‍♂️"
141,"@xxxJJxyz Ehrlich gesagt, würde ich das begrüßen. Und von mir aus, kann der BVB heute 6:0 auf die Fresse kriegen, wenn es dazu führt, dass Rose gehen muss."
142,die Fans halten ja wirklich die ganze Zeit die fresse ich krieg zu viel
143,"@lino Ach die können mich alle sowas von am Arsch lecken. Wer die Fresse nicht mal gegen Rechts aufkriegt, kann mich sowas von mal 😠

Es sind wenige, aber was ich kritisiere ist, dass sich niemand dagegen stellt. Doof gucken können die alle, aber wirklich mal was machen: Nö 😑"
144,@SlaytheMinion Aber lefort meine fresse
145,RT @moviedirect2002: @rosenbusch_ Was in Kanada passiert ist weltweit geplant. Wir beobachten die Testphase…. Und die gekauften Journaliste…
146,"RT @sixtus: Ich verrate es Dir, Martin: Wir haben eine Pandemie, und ob Du eine Maßnahme, die Deine Mitmenschen vor einer Infektion bewahrt…"
147,@Markus_Soeder @Matadorin21 Halt die Fresse
148,"@jreichelt Was haben Sie eigentlich gerlernt? Ein Bundestagsabgeordneter = Bundesregierung, meine Fresse  was für eine populistische, scheiß These."
149,"Der Hund ist übellaunig. Weil ich es nicht so geil finde wie er, dass mir beim Spaziergang Regen in Böen von 60 km/h ins Gesicht peitscht und mir kleinere Äste um die Ohren fliegen. Und nein, ich möchte die auch nicht aufheben u. in der Fresse durch die Gegend tragen. Gassi Ende!"
150,"@InvaderZim85 @J_Hofinger @neythomas und alles daran ist einfach komplett Falsch....lach, aber was solls, das Problem der Menschheit ist das die Dummen immer so ein wahnsinnig großes Selbstbewusstsein haben und die Fresse am lautesten aufreißen....Dunning-Kruger-Effekt"
151,@EPMoon2 @Standartskilll Halt die Fresse
152,@SVWSCP @rot_weiss_essen Meine Fresse die sagen doch das sie es nicht tolerieren jetzt komm halt mal runter jeder wünscht ihm gute Besserung und auch essen wird ihm das wünschen  häng dich nicht an diesen paar Worten in dem tweet auf
153,@Robindownbad @byRudra Halt bitte die fresse
154,RT @moviedirect2002: @rosenbusch_ Was in Kanada passiert ist weltweit geplant. Wir beobachten die Testphase…. Und die gekauften Journaliste…
155,@Dekarldent glaub tatsächlich dass das gegenteil der fall ist. diejenigen die man sich anhören wollte halten nur blöderweise die fresse :D
156,"@okcoolbutidc @Karizyoderso Digga halt die Fresse was für Ski sind shit, jeder 2. Snowboard fahrer liegt mitten auf der Piste und fahren riesen bögen waa für besser"
157,"@vaanity1x Bist du dumm oder so ?? Was hat das mit dem Twitter Game zu tun ??? Du bist so schlecht das ist übel funny, womit wolltest du mich jetzt Fronten ? Damit, dass ich Monte gucke und 1 Bild gepostet hab ?  Halt am besten deine Fresse, weil du halt einfach ein Lutscher bist 😂😂👍"
158,RT @moviedirect2002: @rosenbusch_ Was in Kanada passiert ist weltweit geplant. Wir beobachten die Testphase…. Und die gekauften Journaliste…
159,"RT @drecksuser: Ich schäme mich so für unsere „fans“ die pfeifen in der Halbzeitpause, aber kriegen ihre fresse nicht auf zum supporten wäh…"
160,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
161,Meine Fresse hab ich schlechte Laune. Da kann ich mich nicht mal so richtig über das Tor freuen.
162,@bmg_jennik eigga halt deine fresse bei gott nerv nicht
163,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
164,@7qeezy @Samibbvn @nachsicht24 Du sollst deine fresse halten digga was daran so schwer
165,@Karl_Lauterbach Halt endlich deine dumme Fresse!!! Es besteht eine sehr große Gefahr für einen Weltkrieg und du nervst mit deinen Warnungen über Corona!!!
166,So jz so schnell wie möglich raus aus dieser Stadt und nach Graz meine Fresse ich hasse einfach alles
167,"@Karizyoderso Digga halt die Fresse was für Ski sind shit, jeder 2. Snowboard fahrer liegt mitten auf der Piste und fahren riesen bögen waa für besser"
168,RT @moviedirect2002: @rosenbusch_ Was in Kanada passiert ist weltweit geplant. Wir beobachten die Testphase…. Und die gekauften Journaliste…
169,Was ein Ball von Upa meine fresse wenn der Junge will geht es doch
170,@7qeezy @Samibbvn @nachsicht24 Halt deine fresse
171,"@MimiMaid Das ist so als würde ich jemanden die Zähne aus der Fresse prügeln, weil mein Gegenüber mir sagt er mag keine Bolognese und isst seine Nudeln lieber mit Carbonara"
172,"@toxic_fart @ernst_klaus Dass gleich zwei alte weiße Männer bei @dieLinke nicht kapieren, dass eine gendergerechte Sprache *DIE* Grundlage für soziale Gerechtigkeit ist, zeigt eigentlich bis wohin diese Partei abgestumpft ist. Da müsste aus allen Ecken der Partei „Fresse halten“ kommen!"
173,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
174,@Sosai99 @0511Akhi Junge bei Gott keine Ahnung haben aber reden traurig halt deine fresse einfach wenn du nichts weiß
175,Hält der auch mal einen? Meine Fresse. #LEEMUN
176,"@Azzorb Hatte ich vor Jahren bei -17 Grad in der MBA im Pokal gegen das Pack. War toll, haben 0-3 auf die Fresse gekriegt und scheiße gespielt."
177,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
178,@DerEchteBerhan @yBenni_ @r6_rndm Digga bei euch ist alles gethrowt seid ihr behindert 4:0 und 4:1 ihr seid einfach scheiße und habt die größte Fresse was stimmt nich mit euch außerdem ist das ein Tweet du Opfer wo ist das gespeichert
179,@v_schleicher Halt die Fresse!
180,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
181,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
182,"@Karl_Lauterbach Meine Fresse!!!! Ruhe jetzt, Sie Nervensäge. Sperren Sie sich zu Hause ein und hören Sie auf, Panik zu verbreiten. Sie Corona-Propagandaminister."
183,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
184,"@michael_plannet @DHeuwer Sprichst mir aus der Seele! Deutsche Politiker müssen bei Staatsbesuch vor allem in Osteuropa erstmal einen Kranz niederlegen! Immer wird die Nazi-Karte gezückt, damit wir die Fresse halten und bloß keine Kritik üben! Wir sind uns auch so unserer Vergangenheit  bewusst!"
185,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
186,"Ich schäme mich so für unsere „fans“ die pfeifen in der Halbzeitpause, aber kriegen ihre fresse nicht auf zum supporten während des Spiels, Instagram storys sind wichtiger mein gott dann guckt zu Hause Fussball"
187,"Grüße von Sleepy soll ich ausrichten.
Er sagt Israel Fans sollen die Fresse halten. 😼 https://t.co/Y83OLEatJA"
188,"@etp_inxession @BernieMayr @TichysEinblick Naja, du verspielst dein Leben nicht meines. Dein Problem. Sich auf ""alternativen"" Medien zu informieren hat halt seinen Preis. Und solche Dummköpfe brauchen ihre Macher. Die lachen sich ins Fäusten und werden stinkreich dabei. Und Ihr lasst euch verarschen. Meine Fresse."
189,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
190,"@FCBayern Hainer raus, brazzo auch raus... Drecks spar Politik nutzt nix, wenn in so ein Schrott investiert wird und dann so Leute wie Alaba&amp;co gehen weil ihr deren Gehalt nicht zahlen wollt... Meine fresse ey"
191,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
192,Meine Fresse
193,"@eu_holo @Slowzyy2K @lPxrfect @xxTjim @SlaezyR6 @iSythic Halt doch einfach mal deine fresse anstatt du gg schreibst, nein digga miimmiiimmmii
Lass dir das doch gefallen du bisz beef süchtig"
194,"Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
195,"@okcoolbutidc Digga halt die Fresse was für Ski sind shit, jeder 2. Snowboard fahrer liegt mitten auf der Piste und fahren riesen bögen waa für besser"
196,"Man redet von Mentalität, Einstellung und haste nich gesehen aber aufm Platz wirds nicht gezeigt. Dann redet doch auch nich davon wenn es aufm Platz eh nicht durchgesetzt wird meine Fresse"
197,@whistlebra @FCBayern Halt die fresse
198,"@BesorgteBrgeri2 @AnAudretsch Wie auch? Die meisten dieser faschistischen gruenen Mischpoke hat nicht mal eine Berufsausbildung.
Was die aber alle haben, ist eine grosse Fresse und nichts dahinter"
199,@welt In die Fresse hauen. Auch ein Hobby. 🤣🤣🤣
200,"@BMG_Bund Meine Fresse ja. Telegram ist nun mal der technisch am weitesten fortgeschrittene Messenger.
Wenn da Idioten schreiben soll das so sein. Auf WhatsApp schreiben auch Millionen Idioten und hat Faeser schon versucht WA abzustellen?
Ja also warum nicht. Alles gut."
201,"@jreichelt Männlein redet nicht mit denkenden Menschen, die eine eigene Meinung haben. Dazu müsste Männlein etwas drauf haben. Nur grosse Fresse reicht bei künstlicher Intelligenz (Bl........t) nicht."
202,"RT @Heidi6611: @AnAudretsch Sie sind schon eine verdammt hohle Nuss Herr Audretsch🤨Meine Fresse,soviel Blödheit auf einen Haufen erlebt man…"
203,"@bmg_jennik @Insidemunchen Mit Flick waren wir 7 spiele in folge 0:1 hinten, also fresse"
204,@FCBayern meine fresse was soll man dazu eigentlich noch sagen
205,RT @Emil781: So nochmal an die ganz schwachmatten...Liebe mein land meine Kultur und bin kein NAZI Und wer das von mir denkt soll die fress…
206,@kittyannesummer @Klaus01830795 Fresse Tom
207,Meine fresse!? Hasan endlich raus!! #FCBSGF
208,@sanegnabry Sie fragt ob Nagelsmann raus soll aber supportet Immernoch Gnabry wer hat dich denn verarscht meine fresse😭😭😭😭
209,"@ewekasidney Halt die Fresse, du Hipster. Dunk Contest seit Carter 2000 und spätestens seit Gordon vs Leaving dogshit geworden. Die ganze Celebrity kacke auch Müll"
210,"So ist es. Wenn das heute in die Hose geht geben wir die Schale noch ab. 

Und das an unglaublich schlechte Dortmunder. Meine Fresse. https://t.co/lVRiamcXEj"
211,@FCBayern Was für ein gegurke….meine Fresse
212,RT @Emil781: So nochmal an die ganz schwachmatten...Liebe mein land meine Kultur und bin kein NAZI Und wer das von mir denkt soll die fress…
213,"@etp_inxession @BernieMayr @TichysEinblick Junge, begib dich in ärztliche Behandlung. Du bist auf einem gefährlichen Trip!! Man kann nichts widerlegen was es nicht gibt. Mensch, wenn du ein Hirn hast, dann setz es ein und lass es arbeiten und renne nicht  billigen Demagogen nach!! Meine Fresse!"
