,Tweet
16,"RT @Motochen: @Kachelmann &lt;querdenker mode&gt;""Jetzt schreibt uns der Wind sogar schon vor , wann wir das Haus verlassen tun dürfen. #DankeMer…"
17,RT @eMu_fake: #dankemerkel https://t.co/z7QjDgbibF
18,"Jetzt sollen Kinder wegen ein bisschen Wind nicht in die Schule, Erwachsene sollen morgen lieber nicht zur Arbeit fahren. Ich lasse mir von dieser Orkandiktatur nicht meine Freiheit nehmen! Morgen Orkandemo! #Orkandiktatur #Dankemerkel #Freiheit #anorkanodermitorkan #orkanlüge"
19,@it_retter @_FriedrichMerz @welt #DankeMerkel Dr. Angela!✌️🤣 (Halbiert in 16 Jahren d. Zustimmung z. Union)
20,Best of ANGELA MERKEL (Rezo und Reved reagieren) https://t.co/egRlYmuSnn via @YouTube    #DankeMerkel
21,"@Kachelmann &lt;querdenker mode&gt;""Jetzt schreibt uns der Wind sogar schon vor , wann wir das Haus verlassen tun dürfen. #DankeMerkel""&lt;/&gt;"
22,@mtaushb #dankemerkel https://t.co/rgb0GoyfWi
23,RT @eMu_fake: #dankemerkel https://t.co/z7QjDgbibF
24,"@DrOetkerPizzaDE @igloDeutschland @an_dy_wand #DankeMerkel
#DankeAmpel"
25,"@KASonline @Wrdlbrmpfd_Wrdl @darley_KAS @JochenBlind @Der_BDI @BVDW @BVMWeV @LEStiftung @insm @KlimaWirtschaft @iw_koeln @MIT_bund @sdw_Stiftung Bisher gab es für mich leider nix zurück. 
Merke nur, das mein schmales Arbeitseinkommen kaum noch für den Monat reicht. 
#DankeMerkel #DankeCDU #DankeKartellparteien"
26,@DrWaumiau Dafür ist wieder Geld da! #DankeMerkel
27,RT @eMu_fake: #dankemerkel https://t.co/z7QjDgbibF
28,Das BVerfG hat fertig! #DankeMerkel #Harbarth 🤬 https://t.co/JrPpjfnWGu https://t.co/Br4CdrJb0U
29,RT @eMu_fake: #dankemerkel https://t.co/z7QjDgbibF
30,RT @eMu_fake: #dankemerkel https://t.co/z7QjDgbibF
31,#dankemerkel https://t.co/z7QjDgbibF
32,"@Einzelfallinfos Ja wo kommen wir den auch hin, wenn jeder einen Araba einfach komisch angucken tut ... 🤷‍♂️#dankemerkel"
33,"@ScarySchnegge @faznet #Boykottfaz
#dankemerkel"
34,"RT @Tee_Lichtenrade: Nachdem wir ja alle im September an der Impfung gestorben sind, muss ich sagen: das Leben nach dem Tod ist genauso bes…"
35,"Nachdem wir ja alle im September an der Impfung gestorben sind, muss ich sagen: das Leben nach dem Tod ist genauso beschissen wie das davor. 😒 #dankeMerkel"
36,@ainyrockstar #DankeMerkel!🤦‍♂️
37,@GaalSte @FcbTani Opfer gebracht und keiner dankt's. #DankeMerkel
38,Trauriger wird es heute leider nicht mehr #DankeWendler #DankeMerkel #Wendler https://t.co/YpyTsslubN
39,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
40,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
41,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
42,"#Merz und #Söder kassieren fette Standpauke  😂

#DankeMerkel 

#Bundesversammlung https://t.co/guBCBFXbcw"
43,Schön #Merkel mal wiederzusehen. #DankeMerkel https://t.co/9VNiq6JLxq
44,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
45,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
46,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
47,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
48,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
49,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
50,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
51,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
52,"RT @DerElcon: @mokomokai #Schöder wird mit seiner #Agenda2010 gelobt.
Die Auswirkungen als Wirtschaftsförderung gefeiert, ohne die #DankeMe…"
53,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
54,"RT @JulianRoepcke: #DankeMerkel
#СпасибоМеркель"
55,"#DankeMerkel
#СпасибоМеркель https://t.co/cXkJ4bl5Bj"
56,"@mokomokai #Schöder wird mit seiner #Agenda2010 gelobt.
Die Auswirkungen als Wirtschaftsförderung gefeiert, ohne die #DankeMerkel nicht so problemlos aus dem Vollen schöpfen konnte.

Die EU peilt konstant 2% Inflation unter dem Beifall der #MSM an 

 Wir sind komplett am Arsch."
57,@ropert_suelze @DieterSteffmann #DankeMerkel
58,@Georg_Pazderski #DankeMerkel #fckAfD #NazisRaus
59,"Ich habe eben gelesen, dass Angela Merkel die öffentliche Sicherheit Deutschlands zerstört und die Bundesrepublik zur Plünderung freigegeben haben soll. Ich denke das ist ein gutes Indiz für eine ausgewogene Bubble. #DankeMerkel"
60,RT @danielefrijia: @tofu_PR 3 Impfungen und jede Currywurst und Bier selber bezahlt. Man wird überall verarscht. Darüber schweigen sich @Ja…
61,"RT @sahlbln: Parteiübergreifend ein Signal senden! Auch ein guter Tag, um nochmal Danke zu sagen, an die vielen da draußen, die jeden Tag f…"
62,"Parteiübergreifend ein Signal senden! Auch ein guter Tag, um nochmal Danke zu sagen, an die vielen da draußen, die jeden Tag für unseren Staat, unsere Gesellschaft &amp; wirtschaftliche Entwicklung und Wohlstand arbeiten. #Bundesversammlung #dankemerkel #demokratie #bundespräsident https://t.co/1v6YPJaz8Q"
63,@_FriedrichMerz  hält es nicht für nötig Merkel zu appaudieren #Bundenpräsident #Bundesversammlung #DankeMerkel
64,#DankeMerkel https://t.co/9j42t8Qrq8
65,"@Tom11880 @FlugschuleE Tja, auch dafür #DankeMerkel"
66,"@GabiElenaDohm Hm, wahrscheinlich gibt es eine CDU vor und eine nach der Ära Merkel. Sieht auf jeden Fall aktuell so aus. Ach, ich vermisse es eine Kanzlerin zu haben, die auch Mal unbeliebte Entscheidungen trifft zum Schutz jedes Einzelnen.#DankeMerkel #Prienruecktritt"
67,"Haben grad ein rechtliches Problem mit #Xanny … kein Plan ob Release am 18.02. haltbar ist! 

#siewollenunsuntenhalten #dankeMerkel #TreehugRecords"
68,RT @danielefrijia: @tofu_PR 3 Impfungen und jede Currywurst und Bier selber bezahlt. Man wird überall verarscht. Darüber schweigen sich @Ja…
69,@tofu_PR 3 Impfungen und jede Currywurst und Bier selber bezahlt. Man wird überall verarscht. Darüber schweigen sich @JanJosefLiefers und @welt aus. #dankeMerkel - #dankeKarlfürNichts
