,Tweet
13,"Eines der zahlreichen Beispiele: Im Artikel liest man dann ""Laut Autopsie war aber auch diese nicht für den Tod des Jugendlichen kausal."" (Warum steht in der Headline ""enthüllt""?!) #Heute https://t.co/qw4O0cTqRK"
14,"D A Y T O N A

#NASCAR #Heute #germanhomeofnascar"
15,RT @MichaelIHWagner: @RichterHedwig 💓Beste Deutsche. Morgens: Sehr wichtige komische analoge Post öffne ich #Heute. Mittags: Sehr wichtige…
16,"Heute 🇨🇦 Morgen 🇩🇪

Die Politik und die Medien schweigen, aber wir müssen es hier verbreiten!
#NEINzurImpfpflicht NEIN zu #ImpfpflichtAb18 
#heute🇨🇦Morgen🇩🇪 https://t.co/KESgzqzVCo"
17,"RT @zensurkontrolle: 'Riesige Unzufriedenheit mit türkis-grüner Regierung' darunter die #Zensur von #Heute:
—
Weil der folgende Kommentar (…"
18,"Zur Information: Demi Rojas Tovar gab es nie, es war ein Pseudonym eines vollkommen unwichtigen Models.

#WeAreNATO #worldarmy #FoxNews  #CBSNews #Forbes #NBCNews #nbc #CNN
#USAToday 
We Serve the World 

#RTL  #Bild #CDU #zdf #tagesschau #ard #heute #heutejournal #tagesthemen"
19,@SkySportDE die Gefangenen Olympiade hinter Gittern Der Freiheit beraubt geopfert der Gier nach Geldspiele der Schande nicht der Freiheit. #Olympia #Olympics2022 #olympischespiele #pressefreiheit #Menschenrechte #Peking2022 #peking #tagesschau #Tagesthemen #heute #sportschau #sportbild #Bild https://t.co/duUfAXKEEq
20,"'Riesige Unzufriedenheit mit türkis-grüner Regierung' darunter die #Zensur von #Heute:
—
Weil der folgende Kommentar (3x neu- und umgeschrieben) dem parteiischen Moderator zu regierungskritisch ist, wird er von @Heute_at zensiert. https://t.co/G25BpjMgu8"
21,"RT @MichaelIHWagner: @derspiegel Guten Morgen. Jeder kann #Heute sagen/schreiben, es ist im Sinne #Von gewesen*innen. Problematik: #ZEIT is…"
22,"RT @MichaelIHWagner: @derspiegel Ein @finkd Trick it’s not a trick. It’s a #SONY. Bis er eben platzt🕋Buff. Hätte ich nicht gelöscht, #Heute…"
23,"Margaritaa, 32 ❤️
💬Ich chatte heimlich auf 👉 https://t.co/1Fjj9IIWp6 👈 und du?
#lovelove♥️ #Heute #geilemucke https://t.co/EOShIZViJP"
24,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
25,"Hmm.: „Ungepflegte Vagina.“ (Okay) „Nicht Koch*innen.“ (Okay) „Mit Tattoos und/oder Körperbehaarung*innen.“ (Okay). 

Ich denke         Ich lege mich wieder, schließlich noch früh: #Heute: Sunday, February 20. 2022 &amp; Pisces bis Sunday, March 20. 2022.
💃🏻🦧*m. Hi Hi."
26,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
27,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
28,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
29,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
30,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
31,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
32,"@RichterHedwig 💓Beste Frau. Als Ich #Heute Briefchen: #Berlin: #FinanzamtBerlin Mitte/Tiergarten öffne tue; Berlin nicht mehr mögen, (lang). 
Warum Mitte/Tiergarten? Warum Einbildung Bildung ist? Hä. Bist Du hier? Kûss,⛄️👄👄❤️‍🔥"
33,"RT @MichaelIHWagner: Die Erzählungen, (diese via “Alexander” dessen ausschließlich “Ich” als auch “Blanca” kennen:) beruht allen gg. a. #Sy…"
34,RT @MichaelIHWagner: @parischart Habe gute Nachrichten: Zweite Packung von Pinselschimmel gefuttert🤯. Termin #Heute🦷 wek: wg. komischem #Tw…
35,@ZDFheute @heutejournal Ihr Trottel von #heute fallt natürlich auf dieses #Kriegspropaganda Filmchen mit der Flucht in den Bunker rein. Einfältiger geht es wohl kaum. 🙈
36,Bayern München - Greuther Fürth ⚽️ Bundesliga Prognose &amp; Wett-Tipps 23. Spieltag 2021/2022 #shorts https://t.co/FLhYjiDNmH #fussball #heute #tipps
37,"Wir liefern keine Waffen an die Ukraine. Moralisch unschick und so. Kann man ja jemand umbringen damit. 

#Lambrecht #heute 

P. S.: Wir überweisen aber 2 Mrd. Euro an die Ukraine damit sie sich woanders Waffen kaufen können. Aber bitte nicht weitersagen 🤫"
38,"Gedenkkundgebung in #Potsdam an den rechten Terroranschlag in #Hanau #heute vor 2 Jahren.
Mit Schildern wurde außerdem auch an alle anderen #TodesopferrechterGewalt seit 1990 erinnert.

#onthisday #otd #saytheirnames #hanauistüberall #rechtenterrorstoppen #rassismustötet https://t.co/4rZhPtq4lb"
39,"#Heute *525 Matthäus Schwarz.
Der Hauptbuchhalter bei der Fugger-Gesellschaft (Jakob) schrieb die Anleitung „Musterbuchhaltung“ und mochte Gewänder sehr. Er hinterläßt das „Trachtenbuch“, inklusive Verzeichnis des Anlass' und Umstand. Zu Beginn: Seine Mutter als schwangerer Akt. https://t.co/WkEBlf8bxt"
40,"#Gott ist mein Herr. Mit anderen Worten,er ist die Nummer 1⃣. Ich richte meine Gedanken &amp; Pläne,mein #Leben an ihm aus.Weil er mein Herr ist,bewegt mich die Frage: Wie soll ich mich #heute verhalten? Für meine Mitmenschen beten hat oberste Priorität.

#Gebet #Trost #Trauer #Hanau https://t.co/ICkU2YFwmn"
41,"""Die AfD im Saarland hat keinen Spitzenkandidaten, weil sich mehrere Mitglieder gegenseitig verklagt haben."" 🤣😂😆

So mag ich die Nachrichten! #zdf #heute"
42,"RT @Jesusliebtdich: Nicht der #Tod, sondern Jesus Christus hat das letzte Wort. Es gibt eine #Zukunft 🌤️nach der #Grenze des Sterbens, eine…"
43,@tomdabassman @SusanneBaessler #Bild #BILDLive #Cicero #Welt #merkur #tagesschau24 #tagesschau #heutejournal #heute wer berichtet das als erstes? #BreakingNews #Nachrichten
44,RT @gfi_gardelegen: Wir #gedenken #heute #otd der Ermordeten des Anschlags von #Hanau #heute #otd vor 2 Jahren. Unser Mitgefühl gilt ihren…
45,"Nicht der #Tod, sondern Jesus Christus hat das letzte Wort. Es gibt eine #Zukunft 🌤️nach der #Grenze des Sterbens, eine Zukunft in Verbindung mit #Jesus. Und die beginnt schon #heute.💜 https://t.co/K0MYTUguBl"
46,"Die „Faustmannsche Bodenertragswertformel“ berechnet die Ausbeute des Waldes. Der Förster *200 #Heute Martin Faustmann, erfand das Spiegelhypsometer zur Höhenmessung und erstellte eine Formel für die hessische Forstwitwenkasse. Erster Nutznießer der jährlichen Erhöhung: Sein Weib https://t.co/Y3jRsRqHdb"
47,RT @gfi_gardelegen: Wir #gedenken #heute #otd der Ermordeten des Anschlags von #Hanau #heute #otd vor 2 Jahren. Unser Mitgefühl gilt ihren…
48,"RT @karlakueken: Liebe @Heute_at #heute, ich finde es großartig, dass ihr eure Reichweite nutzt und euren LeserInnen von #LongCovid #PostCo…"
49,"#Heute *275 Heinrich Leopold Wagner.
Der Schriftsteller des Sturm und Drangs heiratete mit 29 eine 47jährige Witwe, die in nach drei Jahren unter die Erde brachte.
„Die Kindermörderinn“ und Lungentuberkulose macht ihn, zum unbedeutendsten Goethianer.
https://t.co/4TZm6amIgs https://t.co/8yhMD4jo45"
50,"RT @MPreobrazenskij: #Gorlowka #heute 19.02.22
Häuser zerschossen #Ukraine #Ruine #Nazi #Armee"
51,"#Gorlowka #heute 19.02.22
Häuser zerschossen #Ukraine #Ruine #Nazi #Armee https://t.co/TI8it4xZ6l"
52,"#Nazi #Flugblätter über #Russland #WWIII 
#heute werden wort wörtlich die gleiche über #Donbass abgeworfen! https://t.co/ImlZik8RyQ"
53,"Sprengstoff auf einem Brückenpfeiler entschärft! Die Brücke ist auf der Strasse über die Menschen in #Sicherheit gebracht werden
#Lugansk #heute  
#Ukraine #Terror #Nazi https://t.co/fwDck2Iv79"
54,"RT @Nira_Hundekeks: 🙋‍♀️: #Heute Kaustange Evil-Edition 🤣🤣🤣
#DogsOfTwitter
#Twitterrudel https://t.co/InLtLbAJPd"
55,"🙋‍♀️: #Heute Kaustange Evil-Edition 🤣🤣🤣
#DogsOfTwitter
#Twitterrudel https://t.co/InLtLbAJPd"
56,"#Heute Nom-Nom, Nag-Nag....lecker Kaustange...Arbeit...bin sehr konzentriert 👅🐶❤
#DogsOfTwitter
#Twitterrudel https://t.co/FPYaWKgbqd"
57,"RT @JungereCato: Online-Abstimmung über #Impfpflicht in #heute 
82,3% dagegen und 15,6% für die Impfpflicht! ( Rest weiß es nicht)
Anzahl d…"
58,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
59,"RT @IslamicArt: 🇨🇭💸🇨🇭💶🇨🇭💷🇨🇭💴🇨🇭🏦🇨🇭
Was Sie 🤔 über #Geld 💰 und #Islam  🕌 in der👉 #Schweiz  🇨🇭Wissen wollten! Die Antwort 👉 In der #Veranstalt…"
60,"Nach dem Pragmatismus unter Kanzlerin #Merkel, der die #Partei an das links-liberale Milieu anglich, hoffen viele in der #CDU auf Veränderung. Parteichef #Merz könnte eine konservative #Revolution anführen. Doch, was ist #Konservatismus #heute? ⬇️
https://t.co/KLUL9INkZV"
61,"🇨🇭💸🇨🇭💶🇨🇭💷🇨🇭💴🇨🇭🏦🇨🇭
Was Sie 🤔 über #Geld 💰 und #Islam  🕌 in der👉 #Schweiz  🇨🇭Wissen wollten! Die Antwort 👉 In der #Veranstaltung in #Zuerich  - #heute  Abend! 👏👏Endlich mal kein Zoomtreffen sondern #live  …😊👍 https://t.co/pRPWrGInzT"
62,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
63,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
64,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
65,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
66,"RT @karlakueken: Liebe @Heute_at #heute, ich finde es großartig, dass ihr eure Reichweite nutzt und euren LeserInnen von #LongCovid #PostCo…"
67,"RT @karlakueken: Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt s…"
68,"RT @karlakueken: Liebe @Heute_at #heute, ich finde es großartig, dass ihr eure Reichweite nutzt und euren LeserInnen von #LongCovid #PostCo…"
69,"Liebe @Heute_at #heute, ich finde es großartig, dass ihr eure Reichweite nutzt und euren LeserInnen von #LongCovid #PostCovid #MECFS und Co erzählt. Die in euren Artikeln verpackten Infos sind erfreulicherweise immer korrekt und werden vielen Betroffenen helfen! Danke dafür!"
70,"Ich war in den letzten Tagen so ko,dass ich doch glatt Ullis Artikel in der @Heute_at #heute übersehen hab! Hier erzählt sie ihre Geschichte:  https://t.co/lf3oFNbTXJ"
71,"Befehl: #Besetzung von  #Deutschland 

#WeAreNATO #worldarmy #FoxNews  #CBSNews #Forbes #NBCNews #nbc #CNN
#USAToday 
We Serve the World 
#RTL  #Bild #zdf #tagesschau #ard #heute #heutejournal #tagesthemen https://t.co/3HEW5vzW1X"
72,"Happy Birthday 🎼🌹#Falco #birthday #today #heute #Geburtstag #remember #Erinnerung #Blog #Bluesanne #Lesestoff #TheMusicInMe 
https://t.co/EIo8Krpy2m"
73,"RT @LovesoulGeorg: #Heute ordnungsgemäß angemeldete #Demonstration in #Kaiserslautern.
@lsvrlp 

#jugend #FridaysForFuture #kinder #Eltern…"
74,"#Heute ordnungsgemäß angemeldete #Demonstration in #Kaiserslautern.
@lsvrlp 

#jugend #FridaysForFuture #kinder #Eltern #pfalz #WirWerdenLaut #Lockerungen #pfälzer #Schule #Kaiserslautern #rheinlandpfalz #Weinstraße
#pfalz  #IchbinUngeimpft #geimpft #ungeimpft #Impfpflicht https://t.co/evpHuk3pnl"
75,"Befehl: Abschuss aller #Wehrsportgruppen weltweit, an #Fremdenlegion #topaces #Richthofen #wing inklusive Nutzung von Neutronenbomben 

#WeAreNATO #worldarmy #FoxNews  #CBSNews #Forbes #NBCNews #nbc #CNN
#USAToday 
#zdf #tagesschau #ard #heute #heutejournal #tagesthemen"
76,RT @gfi_gardelegen: Wir #gedenken #heute #otd der Ermordeten des Anschlags von #Hanau #heute #otd vor 2 Jahren. Unser Mitgefühl gilt ihren…
77,"Wochenende und Zeit für #Kunst? Wir haben #HEUTE von 10 bis 18 Uhr geöffnet. Und für alle, die einen Überblick brauchen: Um 15 Uhr findet eine kostenlose #Führung zum Kennenlernen des @GNM_Nuernberg statt. 
#gnm #museum #nuernberg #OTD #art https://t.co/I0QRfW6ifj"
78,RT @gfi_gardelegen: Wir #gedenken #heute #otd der Ermordeten des Anschlags von #Hanau #heute #otd vor 2 Jahren. Unser Mitgefühl gilt ihren…
79,RT @gfi_gardelegen: Wir #gedenken #heute #otd der Ermordeten des Anschlags von #Hanau #heute #otd vor 2 Jahren. Unser Mitgefühl gilt ihren…
80,RT @gfi_gardelegen: Wir #gedenken #heute #otd der Ermordeten des Anschlags von #Hanau #heute #otd vor 2 Jahren. Unser Mitgefühl gilt ihren…
81,RT @gfi_gardelegen: Wir #gedenken #heute #otd der Ermordeten des Anschlags von #Hanau #heute #otd vor 2 Jahren. Unser Mitgefühl gilt ihren…
82,"RT @JungereCato: Online-Abstimmung über #Impfpflicht in #heute 
82,3% dagegen und 15,6% für die Impfpflicht! ( Rest weiß es nicht)
Anzahl d…"
83,RT @gfi_gardelegen: Wir #gedenken #heute #otd der Ermordeten des Anschlags von #Hanau #heute #otd vor 2 Jahren. Unser Mitgefühl gilt ihren…
84,Wir #gedenken #heute #otd der Ermordeten des Anschlags von #Hanau #heute #otd vor 2 Jahren. Unser Mitgefühl gilt ihren Angehörigen und Hinterbliebenen. ⚘🖤 #WirSagenIhreNamen #SayTheirNames #RassismusTötet #Rassismus #Rechtsextremismus #Rechtsterrorismus #GegenRechts #Erinnern https://t.co/UYrSGlER7U
85,"RT @MichaelIHWagner: @RichterHedwig 💓Liebst. ?. (Alle Handel zur Ruhe kommt: Game Over: Immer schwerer für mich.) 
War ich #Heute in 2 Rest…"
86,"RT @JungereCato: Online-Abstimmung über #Impfpflicht in #heute 
82,3% dagegen und 15,6% für die Impfpflicht! ( Rest weiß es nicht)
Anzahl d…"
87,"RT @JungereCato: Online-Abstimmung über #Impfpflicht in #heute 
82,3% dagegen und 15,6% für die Impfpflicht! ( Rest weiß es nicht)
Anzahl d…"
88,"25K sind aus eigener Kraft vor den Angriffen ex #Ukraine #Nazi #Armee geflüchtet, 10K organisiert evakuiert #Lugansk #Heute https://t.co/WsoYWymAOg"
89,Arminia Bielefeld - Union Berlin ⚽️ Bundesliga Prognose &amp; Wett-Tipp 23. Spieltag 2021/2022 #shorts https://t.co/ONADeudrWX #fussball #heute #tipps
90,1.FC Köln - Eintracht Frankfurt ⚽️ Bundesliga Prognose &amp; Wett-Tipp 23. Spieltag 2021/2022 #shorts https://t.co/GPdT7njBlD #fussball #heute #tipps
91,RT @MPreobrazenskij: #Gorlowra #Heute ex #Ukraune #Nazi #Terror
92,#Gorlowra #Heute ex #Ukraune #Nazi #Terror https://t.co/VhgG08F09N
93,"RT @JungereCato: Online-Abstimmung über #Impfpflicht in #heute 
82,3% dagegen und 15,6% für die Impfpflicht! ( Rest weiß es nicht)
Anzahl d…"
94,"RT @JungereCato: Online-Abstimmung über #Impfpflicht in #heute 
82,3% dagegen und 15,6% für die Impfpflicht! ( Rest weiß es nicht)
Anzahl d…"
95,"RT @JungereCato: Online-Abstimmung über #Impfpflicht in #heute 
82,3% dagegen und 15,6% für die Impfpflicht! ( Rest weiß es nicht)
Anzahl d…"
96,"RT @JungereCato: Online-Abstimmung über #Impfpflicht in #heute 
82,3% dagegen und 15,6% für die Impfpflicht! ( Rest weiß es nicht)
Anzahl d…"
97,"RT @JungereCato: Online-Abstimmung über #Impfpflicht in #heute 
82,3% dagegen und 15,6% für die Impfpflicht! ( Rest weiß es nicht)
Anzahl d…"
98,"Online-Abstimmung über #Impfpflicht in #heute 
82,3% dagegen und 15,6% für die Impfpflicht! ( Rest weiß es nicht)
Anzahl der Abstimmenden über 342.000!"
99,@pastinho11 Man kann fast nur noch abschalten .#heute #Tagesthemen #heutejournal .
100,"Der halblustige #Nusser von #Heute wird am Sonntag in der #Pressestunde #Polaschek halbseidene, unkritische Fragen stellen. Für solche Farcen MUSS #GiS bezahlt werden!"
101,"Eine #Sprachnachricht bei #WhatsApp, die länger als 5 #Minuten dauert, muss seit #heute als #Podcast deklariert werden"
102,"RT @MichaelIHWagner: @RichterHedwig 💓Liebst. Hatte ich Dir berichtet{VerschlußGDRSSI2}. Ist @n26 befreit, #heute😵‍💫. Soeben mit verbliebene…"
103,"RT @walking_guitar: -

WalkingGuitar.. ja #heute am 17. februar 
2022 #17feb war i nach draussen
mit meine #guitare musizieren #unterwegs…"
104,"#Heute *100 Rolf Erich Osterwalder.
Studierte in der Zeit, anstatt zu kämpfen. Gründete das „Hazy-Osterwald-Sextett“. Die amerikanische Musikergewerkschaft lehnte ihn ab, der NWDR nicht. 1955 Auftritt in „Eine kleine, große Reise“. Bereits 1961 verfilmt. 
https://t.co/c87aOhcujV"
105,"RT @1_letzte: #Heute +300 Charlotte Amalie von Hessen-Wanfried.
Verheiratet 1694 mit dem reichsten Mann Ungarns, Fürst Franz II. Rákóczi vo…"
106,"""...ja, sogar die erste Orkanböe in Gütersloh""
Glückwunsch zur Ersten! 🥳

#heute #wetter"
107,"liebe #bayern, #kein #import von #lebensmitteln &amp; #futtermitteln aus #brasilien ! Da sind einfach zu viele #pestizide im #spiel laut #Süddeutscher #Zeitung von #heute : ""#Brasilien droht ein Gift-Boom"". #sz #faz #zeit #nzz #spiegelonline"
108,"+++🔥📍#Berlin📍🔥+++
#Lauterbach #heute zur #PK ohne Hundearzt
#RKI
präsentieren seinen neuen Chef
Prof. Lars #Schaade
Der 🐕 Arzt #Wieler hat fertisch!

#friedlichzusammen🎈
weil🗣📣
#lauterbachluegt
#Drostenluegt
#wielerluegt"
109,"Und in der #ZDF-Nachrichtensendung #Heute wurde auch gerade wieder glatt gelogen, indem gesagt wurde #Novavax wäre ein klassischer #Totimpfstoff! Das ist falsch!!! 😡"
110,"#Nachrichtensprech: ""Machthaber #Putin, #Diktator #Lukaschenko usw."" Da frage ich mal, was sagt eigentlich #Machthaber Olaf #Scholz dazu?! 🤔😉 #Heute #ZDF"
111,„Der Gesundheitsminister warnt.“ Echt? #heute
112,"#Heute +300 Charlotte Amalie von Hessen-Wanfried.
Verheiratet 1694 mit dem reichsten Mann Ungarns, Fürst Franz II. Rákóczi von Felsővadász, der sich 1701 mit Hilfe der Türken, als letzter Magyar, gegen Habsburg erhob.
Traurig über die Ächtung, kam ein uneheliches Kind zur Welt. https://t.co/nTWNCDoNvU"
113,"Pain compensation for families of victims 

#WeAreNATO #worldarmy #FoxNews  #CBSNews #Forbes #NBCNews #nbc #CNN
#USAToday 
We Serve the World 

#RTL  #Bild #zdf #tagesschau #ard #heute #heutejournal #tagesthemen https://t.co/kfXLyQLOZo"
114,#Münchner #Sicherheitskonferenz : „#Heute droht neuer #Krieg“ – #Baerbock und #Blinken warnen vor #Eskalation in der Ukraine https://t.co/D3aEmmnT4h
115,#Münchner #Sicherheitskonferenz : „#Heute droht neuer #Krieg“ – #Baerbock und #Blinken warnen vor #Eskalation in der Ukraine https://t.co/CoYUeqvl5M #
116,RT @muenchen: #Heute vor 79 Jahren (18.2.1943) warfen die #GeschwisterScholl Flugblätter in den #Lichthof der #LMU. Sie wurden verhaftet un…
117,"#Heute vor 175 Jahren findet die Uraufführung von „Vielka“, der 13. Oper von Giacomo Meyerbeer im Theater an der Wien statt.
Eine Adaption seines Singspiels „Ein Feldlager in Schlesien“. Text von Ludwig Rellstab und Charlotte Birch-Pfeiffer überarbeitet.
https://t.co/p9uOuqtX15"
118,RT @muenchen: #Heute vor 79 Jahren (18.2.1943) warfen die #GeschwisterScholl Flugblätter in den #Lichthof der #LMU. Sie wurden verhaftet un…
119,"500000 victims of #wolframvanlessen #monster in sheepfur 

#WeAreNATO #worldarmy #FoxNews  #CBSNews #Forbes #NBCNews #nbc #CNN
#USAToday 
We Serve the World 
#RTL #zdf #tagesschau #ard #heute #heutejournal #tagesthemen https://t.co/Tf7xBCH7WY"
120,RT @muenchen: #Heute vor 79 Jahren (18.2.1943) warfen die #GeschwisterScholl Flugblätter in den #Lichthof der #LMU. Sie wurden verhaftet un…
121,"#Heute +250 Johann Hartwig Ernst Graf von Bernstorff.
Außenminister unter Kg Friedrich V u Christian VI (Hz S-H) v Dk.
Meister der Verträge löste Konflikt mit Holstein Gottorf. Einigte durch Tausch mit Katharina II S-H erstmals seit 15.Jh.
Lernte nie dänisch.
Ersetzt v Struensee. https://t.co/siqvK05lL0 https://t.co/FJBTGVAeJT"
122,#Heute vor 79 Jahren (18.2.1943) warfen die #GeschwisterScholl Flugblätter in den #Lichthof der #LMU. Sie wurden verhaftet und zum Tode verurteilt. ✝︎ In der DenkStätte #WeißeRose könnt ihr euch über den studentischen Widerstand genauer informieren: https://t.co/cKnHmH4mJo
123,FSV Mainz - Bayer Leverkusen ⚽️ Bundesliga Prognose &amp; Wett-Tipp heute 23. Spieltag 2021/2022 #shorts https://t.co/prTbsb6x20 #fussball #heute #tipps
124,"@RichterHedwig 💓Liebst. Hatte ich Dir berichtet{VerschlußGDRSSI2}. Ist @n26 befreit, #heute😵‍💫. Soeben mit verbliebenem #VodafoneTriplePlay™ FNPhone Fr. Langguth/#FAMitte/Tiergarten: Hat Pfändung nicht aufgehoben: Wait: Wednesday, February 23. 2022. Dann #FAX senden. Lieb,❤️‍🔥👄👄⛄️."
125,"https://t.co/bPlF2uO7EB

#Festnahmen, Unfälle, Einbrüche und viele andere #aktuelle Blaulichtmeldungen von #heute in der #NordNews Übersicht für das #Emsland und die #GrafschaftBentheim"
126,"RT @MichaelIHWagner: @gema_news @BundesKultur Ja. Und löscht meine Daten, weil #UMG &amp; #sonymusic das möchten. Hi Hi. Ich beantragte noch #H…"
127,"#FotoVorschlag für #heute: #Fantasie   

***

 #MeinFoto  #LichtFoto #Stimmungsfoto #Sonnenuntergang #Sunset https://t.co/kkSJ6FwN3S"
128,"💥 Ferienbeginn  
🔖 #linztoday    
🔖 #linz #termin #heute #ferien #today   
🔖 Ferienbeginn für fast 200.000 Schüler in Oberösterreich! #linztoday #linz https://t.co/ugrz9ye13x"
129,"RT @walking_guitar: -

WalkingGuitar.. ja #heute am 17. februar 
2022 #17feb war i nach draussen
mit meine #guitare musizieren #unterwegs…"
130,"RT @walking_guitar: -

WalkingGuitar.. ja #heute am 17. februar 
2022 #17feb war i nach draussen
mit meine #guitare musizieren #unterwegs…"
131,"-

WalkingGuitar.. ja #heute am 17. februar 
2022 #17feb war i nach draussen
mit meine #guitare musizieren #unterwegs

#ontheroad &amp; ja klar #LIVE ..dieses mal but
nicht hier bei mir um eck´ sondern.. egal
(..schnitt ist 59sec

#music #rock #rocknroll #unplugged #walknrocknroll

- https://t.co/2RMPAKoM6S"
132,"@ZDFheute 
'Meerseburger war einer der prägenden Journalisten der ""westdeutschen"" Medienlandschaft'

#ZDF #heute 

Warum nicht einfach ""deutschen""?"
133,"#widerruf von allem seit 1. MAI 2000

#WeAreNATO #worldarmy #FoxNews  #CBSNews #Forbes #NBCNews #nbc #CNN
#USAToday 
We Serve the World 
#RTL  #Bild #zdf #tagesschau #ard #heute #heutejournal #tagesthemen https://t.co/5MWZAuE5TE"
134,"Im Osten geht die Sonne auf | Die Filmstarts der Woche findet ihr wie immer hier: https://t.co/BgkHNN2unh

#filmstarts #wuppertal #heute #kinostart #filmstart #kino #filme #arthaus #independent #independentfilm #cineast #filmliebe #wuppertal #engelswuppertal #engelskultur https://t.co/kFJxF9mDDi"
135,"#Heute +75 Gustav Leutelt.
Der sudendeutsche Dichter starb vertrieben fern der Heimat mit 86.
„Heimat ist nicht alles, aber doch das Wurzelwerk, aus dem der Weltbaum aufsteigt. Weder Heimatliebe als Weltflucht, noch Allerweltsliebe aus Geringschätzung der Heimat sind gut... https://t.co/S9eteEFqVH"
136,"#Heute +75 Gen Inf Rudolf Ernst Otto Gercke.
Soldat seit 1903. 1. Wk, ua Korps Falkenhayn.   Grenzschutz Ost.
Heerestransportchef des OKH. Nach dem 20.7.44 plötzlich in die Planungen einbezogen und ließ drei Tage schaufeln, um die Ardennenoffensive vorzubereiten.
+ VS-Kl Marburg. https://t.co/ransrGAPEf"
